3,1,0.86057,0,56,0.31111,26,0.14444,0.68263
6,1,0.86044,0,80,0.44444,26,0.14444,0.75641
7,1,0.64835,1,126,0.7,41,0.22778,0.82153
8,1,0.64831,1,105,0.58333,0,0,0.89583
10,1,0.8608,0,40,0.22222,0,0,0.80556
12,1,0.64843,1,88,0.48889,23,0.12778,0.78816
13,1,0.86058,0,69,0.38333,0,0,0.84583
16,1,0.86072,0,72,0.4,8,0.044444,0.81525
17,1,0.64902,1,40,0.22222,0,0,0.80556
18,1,0.86072,0,31,0.17222,24,0.13333,0.56767
19,1,0.86113,0,61,0.33889,26,0.14444,0.70026
61,1,1.0965,1,68,0.37778,103,0.57222,0.33692
62,1,0.64902,1,176,0.97778,2,0.011111,0.99154
63,1,0.64831,1,119,0.66111,10,0.055556,0.88929
5,2,0.8608,0,125,0.69444,0,0,0.92361
37,2,0.64816,1,114,0.63333,32,0.17778,0.81834
38,2,0.86057,0,116,0.64444,25,0.13889,0.84289
39,2,0.93121,1,113,0.62778,19,0.10556,0.85393
41,2,0.86138,0,96,0.53333,19,0.10556,0.82009
45,2,0.86113,0,34,0.18889,0,0,0.79722
48,2,0.86057,0,108,0.6,27,0.15,0.81985
52,2,0.93117,1,86,0.47778,44,0.24444,0.6993
53,2,0.93225,1,145,0.80556,15,0.083333,0.92111
54,2,1.4713,0,89,0.49444,33,0.18333,0.75254
55,2,1.4713,0,68,0.37778,25,0.13889,0.72744
56,2,0.64816,1,82,0.45556,14,0.077778,0.80973
57,2,0.93121,1,92,0.51111,0,0,0.87778
58,2,1.6722,1,52,0.28889,22,0.12222,0.6917
20,3,1.4721,0,115,0.63889,8,0.044444,0.88813
21,3,1.4721,0,66,0.36667,71,0.39444,0.47143
23,3,1.4112,0,78,0.43333,53,0.29444,0.62934
24,3,1.8003,0,79,0.43889,18,0.1,0.78717
25,3,1.348,0,120,0.66667,25,0.13889,0.85114
26,3,0.86412,1,135,0.75,6,0.033333,0.92423
27,3,0.93121,1,91,0.50556,22,0.12222,0.79874
28,3,0.86373,1,115,0.63889,35,0.19444,0.81184
29,3,1.4709,0,126,0.7,0,0,0.925
30,3,0.86373,1,128,0.71111,42,0.23333,0.82377
31,3,1.4722,0,80,0.44444,32,0.17778,0.73108
32,3,0.93165,1,31,0.17222,33,0.18333,0.48149
33,3,0.86393,1,95,0.52778,19,0.10556,0.81801
34,3,1.892,1,28,0.15556,31,0.17222,0.47087
70,4,0,0,0,0,56,0.31111,0.17222
71,4,0,0,0,0,127,0.70556,0.073611
72,4,0,0,0,0,37,0.20556,0.19861
73,4,0,0,0,0,122,0.67778,0.080556
74,4,0,0,0,0,42,0.23333,0.19167
75,4,0,0,0,0,53,0.29444,0.17639
76,4,0,0,0,0,92,0.51111,0.12222
